gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/VCC_1292098_24_1638441192.jpg,CarDekho Assured,27,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,93,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2019,Maruti,S-Presso,,"24,268 kms",Petrol,manual,"3,90,000",EMI,@,"? 7,897",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1293790_24_1638603482.jpg,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,74,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Maruti,Eeco,,"45,384 kms",Petrol,manual,"3,50,000",EMI,@,"? 14,902",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1291777_24_1638432026.jpg,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,82,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Maruti,Baleno,,"34,706 kms",Petrol,manual,"5,20,000",EMI,@,"? 15,657",
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1160133_24_1625667506_1292198_24_1638444489.jpg,CarDekho Assured,25,https://stimg.cardekho.com/pwa/img/spacer3x2.png,65,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,Wagon,R,"41,220 kms",Petrol,automatic,"4,25,000",EMI,@,"? 12,797",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,73,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Volkswagen,Vento,,"98,027 kms",Diesel,manual,"6,99,000",EMI,@,"? 14,154",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,97,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Maruti,Wagon,R,"10,412 kms",Petrol,manual,"4,80,000",EMI,@,"? 9,720",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,98,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Maruti,Swift,Dzire,"11,935 kms",Petrol,manual,"6,80,000",EMI,@,"? 13,769",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,,,2019,Maruti,Swift,Dzire,"9,379 kms",Petrol,manual,"6,75,000",EMI,@,"? 13,668",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,,,2018,Maruti,Swift,,"31,824 kms",Diesel,manual,"5,80,000",EMI,@,"? 13,875",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,12,https://stimg.cardekho.com/pwa/img/spacer3x2.png,19,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2008,Hyundai,Accent,,"79,000 kms",CNG,manual,"1,80,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,10,https://stimg.cardekho.com/pwa/img/spacer3x2.png,84,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,i20,,"48,000 kms",Petrol,manual,"5,74,999",EMI,@,"? 46,101",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,1,https://stimg.cardekho.com/pwa/img/spacer3x2.png,72,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,i20,,"68,000 kms",Diesel,manual,"4,99,999",EMI,@,"? 40,088",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,113,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Honda,Accord,,"59,000 kms",Petrol,manual,"6,90,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,4,https://stimg.cardekho.com/pwa/img/spacer3x2.png,49,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Hyundai,EON,,"59,000 kms",Petrol,manual,"2,50,001",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,1465,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2009,Maruti,Wagon,R,"1,20,000 kms",LPG,manual,"1,56,000",,,,Pune
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,768,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Maruti,Alto,800,"1,60,000 kms",CNG,manual,"2,65,000",,,,Pune
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,12,https://stimg.cardekho.com/pwa/img/spacer3x2.png,,,2019,Tata,Nexon,,"60,833 kms",Diesel,manual,"7,81,000",EMI,@,"? 15,814",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,10,https://stimg.cardekho.com/pwa/img/spacer3x2.png,,,2012,Maruti,Swift,Dzire,"1,95,642 kms",Diesel,manual,"2,50,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,10,https://stimg.cardekho.com/pwa/img/spacer3x2.png,27,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,i20,Active,"60,603 kms",Diesel,manual,"4,90,000",EMI,@,"? 39,286",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,11,https://stimg.cardekho.com/pwa/img/spacer3x2.png,,,2018,Maruti,Swift,,"37,383 kms",Diesel,automatic,"5,90,000",EMI,@,"? 14,114",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1160133_24_1625667506_1292198_24_1638444489.jpg,CarDekho Assured,25,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,65,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Maruti,Wagon,R,"41,220 kms",Petrol,automatic,"4,25,000",EMI,@,"? 12,797",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1292099_24_1638441436.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,73,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Volkswagen,Vento,,"98,027 kms",Diesel,manual,"6,99,000",EMI,@,"? 14,154",
