gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,fixedpriceText,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/VCC_1333008_24_1642233321.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,108,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Maruti,Swift,,"37,449 kms",Petrol,manual,"5,52,000",Fixed Price,EMI,@,"? 13,205",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1311361_24_1640157268_1331588_24_1642066264.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,46,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2014,Hyundai,Grand,i10,"83,100 kms",Petrol,automatic,"4,14,000",Fixed Price,,,,New Delhi
https://cdn.spincar.com/swipetospin-viewers/CarDekhoStudio/3004325/20220113101559.RW1RF6C2/closeups/cu-1.jpg,CarDekho Assured,31,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,1023,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Datsun,RediGO,,"42,053 kms",Petrol,manual,"2,25,000",Fixed Price,EMI,@,"? 5,383",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1323237_24_1641296821_1333310_24_1642245001.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Honda,City,,"68,317 kms",Petrol,manual,"4,39,000",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330751_24_1641986967.jpg,CarDekho Assured,2,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,438,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2011,Maruti,Wagon,R,"44,738 kms",Petrol,manual,"2,44,000",Fixed Price,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_VCC_1288763_24_1638102250_1308092_24_1639825552_1330309_24_1641972192.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,635,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Maruti,Wagon,R,"36,245 kms",Petrol,automatic,"3,60,000",,EMI,@,"? 28,863",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_VCC_VCC_1183324_24_1627985739_1282075_24_1637495701_1313441_24_1640332146_1330594_24_1641980034.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,714,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2014,Renault,Duster,,"65,195 kms",Diesel,manual,"3,75,000",,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1296720_24_1638865301_1329485_24_1641891462.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,760,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2011,Hyundai,i20,,"76,856 kms",Petrol,manual,"2,29,500",,,,,New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1297761_24_1638954593_1330502_24_1641977286.jpg,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,339,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Honda,City,,"53,365 kms",Petrol,manual,"6,85,000",Fixed Price,EMI,@,"? 54,920",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330426_24_1641977921.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,194,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2014,Honda,Brio,,"69,913 kms",Petrol,manual,"3,39,500",Fixed Price,,,,New Delhi
