gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/VCC_1332864_24_1642227550.jpg,CarDekho Assured,5,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,29,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Maruti,Ignis,,"30,975 kms",Petrol,manual,"5,24,000",EMI,@,"? 10,611",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1332141_24_1642142893.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,18,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Hyundai,Creta,,"84,037 kms",Petrol,manual,"9,45,500",EMI,@,"? 28,468",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1332139_24_1642142242.jpg,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,66,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Tata,Tiago,,"32,215 kms",Petrol,automatic,"5,26,000",EMI,@,"? 12,583",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1332099_24_1642140137.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,42,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Maruti,Baleno,,"25,979 kms",Petrol,manual,"5,78,500",EMI,@,"? 17,418",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1330334_24_1641974907.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,130,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Maruti,Wagon,R,"76,001 kms",Petrol,manual,"3,97,500",EMI,@,"? 31,870",
https://images10.gaadicdn.com/usedcar_image/original/VCC_1250650_24_1634395731.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,71,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2013,Maruti,Ertiga,,"92,458 kms",Diesel,manual,"6,20,000",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,143,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Hyundai,Verna,,"8,185 kms",Petrol,manual,"9,30,000",EMI,@,"? 18,831",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,63,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,Baleno,,"24,233 kms",Petrol,automatic,"7,40,000",EMI,@,"? 17,703",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,269,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Tata,Tiago,,"11,406 kms",Petrol,manual,"4,04,000",EMI,@,"? 12,164",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,185,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Tata,Zest,,"59,068 kms",Petrol,manual,"3,76,000",EMI,@,"? 30,146",
